Label,United States!!Total!!Estimate,United States!!Percent!!Estimate,United States!!Male!!Estimate,United States!!Percent Male!!Estimate,United States!!Female!!Estimate,United States!!Percent Female!!Estimate
        Bachelor's degree or higher,"53,161,917",36.90%,"25,550,556",36.50%,"27,611,361",37.30%
    Black alone,"27,336,967",(X),"12,615,129",(X),"14,721,838",(X)
        High school graduate or higher,"23,799,881",87.10%,"10,831,809",85.90%,"12,968,072",88.10%
        Bachelor's degree or higher,"6,164,066",22.50%,"2,481,765",19.70%,"3,682,301",25.00%
    American Indian or Alaska Native alone,"1,802,438",(X),"878,986",(X),"923,452",(X)
        High school graduate or higher,"1,469,556",81.50%,"706,492",80.40%,"763,064",82.60%
        Bachelor's degree or higher,"289,540",16.10%,"127,481",14.50%,"162,059",17.50%
    Asian alone,"13,381,406",(X),"6,167,780",(X),"7,213,626",(X)
        High school graduate or higher,"11,747,079",87.80%,"5,515,960",89.40%,"6,231,119",86.40%
        Bachelor's degree or higher,"7,434,848",55.60%,"3,553,501",57.60%,"3,881,347",53.80%
    Native Hawaiian and Other Pacific Islander alone,"395,310",(X),"190,929",(X),"204,381",(X)
        High school graduate or higher,"341,078",86.30%,"164,777",86.30%,"176,301",86.30%
        Bachelor's degree or higher,"71,507",18.10%,"32,507",17.00%,"39,000",19.10%
    Some other race alone,"9,752,522",(X),"4,962,511",(X),"4,790,011",(X)
        High school graduate or higher,"6,283,268",64.40%,"3,142,888",63.30%,"3,140,380",65.60%
        Bachelor's degree or higher,"1,294,122",13.30%,"587,951",11.80%,"706,171",14.70%
    Two or more races,"4,895,894",(X),"2,392,535",(X),"2,503,359",(X)
        High school graduate or higher,"4,365,128",89.20%,"2,120,648",88.60%,"2,244,480",89.70%
        Bachelor's degree or higher,"1,633,329",33.40%,"744,993",31.10%,"888,336",35.50%
    Hispanic or Latino Origin,"34,949,077",(X),"17,427,118",(X),"17,521,959",(X)
        High school graduate or higher,"24,623,646",70.50%,"12,088,356",69.40%,"12,535,290",71.50%
        Bachelor's degree or higher,"6,164,098",17.60%,"2,791,429",16.00%,"3,372,669",19.20%
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,,,,,
    Less than high school graduate,(X),23.40%,(X),19.60%,(X),27.20%
    High school graduate (includes equivalency),(X),13.10%,(X),10.90%,(X),15.20%
    Some college or associate's degree,(X),9.10%,(X),7.10%,(X),10.90%
    Bachelor's degree or higher,(X),4.10%,(X),3.70%,(X),4.40%
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),,,,,,
    Population 25 years and over with earnings,"41,801",(X),"50,016",(X),"35,728",(X)
        Less than high school graduate,"25,876",(X),"30,725",(X),"20,046",(X)
        High school graduate (includes equivalency),"31,956",(X),"38,906",(X),"25,829",(X)
        Some college or associate's degree,"38,125",(X),"46,610",(X),"31,644",(X)
        Bachelor's degree,"56,344",(X),"69,201",(X),"47,895",(X)
        Graduate or professional degree,"75,495",(X),"93,998",(X),"63,912",(X)
