Label,United States!!Total!!Estimate,United States!!Percent!!Estimate,United States!!Males!!Estimate,United States!!Percent Males!!Estimate,United States!!Females!!Estimate,United States!!Percent Females!!Estimate
    High school graduate or higher,"131,667,618",92.30%,"63,506,389",91.70%,"68,161,229",92.80%
    Bachelor's degree or higher,"48,823,442",34.20%,"23,823,504",34.40%,"24,999,938",34%
Black alone,"25,578,326",(X),"11,752,682",(X),"13,825,644",(X)
    High school graduate or higher,"21,674,018",84.70%,"9,789,541",83.30%,"11,884,477",86%
    Bachelor's degree or higher,"5,175,013",20.20%,"2,077,046",17.70%,"3,097,967",22.40%
American Indian or Alaska Native alone,"1,584,273",(X),"762,857",(X),"821,416",(X)
    High school graduate or higher,"1,253,043",79.10%,"590,813",77.40%,"662,230",80.60%
    Bachelor's degree or higher,"223,487",14.10%,"97,492",12.80%,"125,995",15.30%
Asian alone,"12,076,055",(X),"5,556,779",(X),"6,519,276",(X)
    High school graduate or higher,"10,448,753",86.50%,"4,915,499",88.50%,"5,533,254",84.90%
    Bachelor's degree or higher,"6,317,533",52.30%,"3,046,823",54.80%,"3,270,710",50.20%
Native Hawaiian and Other Pacific Islander alone,"335,354",(X),"162,722",(X),"172,632",(X)
    High school graduate or higher,"293,773",87.60%,"143,072",87.90%,"150,701",87.30%
    Bachelor's degree or higher,"52,509",15.70%,"25,759",15.80%,"26,750",15.50%
Some other race alone,"8,911,072",(X),"4,581,580",(X),"4,329,492",(X)
    High school graduate or higher,"5,409,108",60.70%,"2,726,446",59.50%,"2,682,662",62%
    Bachelor's degree or higher,"984,463",11%,"453,364",9.90%,"531,099",12.30%
Two or more races,"4,099,334",(X),"1,988,291",(X),"2,111,043",(X)
    High school graduate or higher,"3,579,223",87.30%,"1,720,161",86.50%,"1,859,062",88.10%
    Bachelor's degree or higher,"1,236,033",30.20%,"563,331",28.30%,"672,702",31.90%
Hispanic or Latino Origin,"31,653,207",(X),"15,807,854",(X),"15,845,353",(X)
    High school graduate or higher,"20,890,036",66%,"10,194,356",64.50%,"10,695,680",67.50%
    Bachelor's degree or higher,"4,677,364",14.80%,"2,119,034",13.40%,"2,558,330",16.10%
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,,,,,
    Less than high school graduate,(X),26.50%,(X),22.70%,(X),30.30%
    High school graduate (includes equivalency),(X),14.10%,(X),11.90%,(X),16.20%
    Some college or associate's degree,(X),10.20%,(X),8%,(X),12%
    Bachelor's degree or higher,(X),4.50%,(X),4.10%,(X),4.90%
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),,,,,,
    Population 25 years and over with earnings,"36,860",(X),"42,378",(X),"31,072",(X)
        Less than high school graduate,"21,320",(X),"25,159",(X),"16,151",(X)
        High school graduate (includes equivalency),"29,004",(X),"34,472",(X),"22,461",(X)
        Some college or associate's degree,"34,377",(X),"41,582",(X),"28,643",(X)
        Bachelor's degree,"50,930",(X),"61,780",(X),"41,952",(X)
        Graduate or professional degree,"67,286",(X),"85,202",(X),"56,726",(X)
