Label,United States!!Total!!Estimate,United States!!Percent!!Estimate,United States!!Male!!Estimate,United States!!Percent Male!!Estimate,United States!!Female!!Estimate,United States!!Percent Female!!Estimate
        Bachelor's degree or higher,"52,305,363",36.30%,"25,253,838",36.10%,"27,051,525",36.50%
    Black alone,"26,865,725",(X),"12,406,838",(X),"14,458,887",(X)
        High school graduate or higher,"23,228,820",86.50%,"10,583,749",85.30%,"12,645,071",87.50%
        Bachelor's degree or higher,"5,909,786",22.00%,"2,369,452",19.10%,"3,540,334",24.50%
    American Indian or Alaska Native alone,"1,760,442",(X),"869,273",(X),"891,169",(X)
        High school graduate or higher,"1,422,728",80.80%,"691,924",79.60%,"730,804",82.00%
        Bachelor's degree or higher,"268,434",15.20%,"115,358",13.30%,"153,076",17.20%
    Asian alone,"13,111,463",(X),"6,035,059",(X),"7,076,404",(X)
        High school graduate or higher,"11,479,234",87.60%,"5,394,786",89.40%,"6,084,448",86.00%
        Bachelor's degree or higher,"7,205,076",55.00%,"3,454,687",57.20%,"3,750,389",53.00%
    Native Hawaiian and Other Pacific Islander alone,"401,896",(X),"197,616",(X),"204,280",(X)
        High school graduate or higher,"350,266",87.20%,"170,446",86.30%,"179,820",88.00%
        Bachelor's degree or higher,"74,212",18.50%,"34,988",17.70%,"39,224",19.20%
    Some other race alone,"9,644,891",(X),"4,935,515",(X),"4,709,376",(X)
        High school graduate or higher,"6,167,318",63.90%,"3,101,896",62.80%,"3,065,422",65.10%
        Bachelor's degree or higher,"1,193,213",12.40%,"537,970",10.90%,"655,243",13.90%
    Two or more races,"4,800,600",(X),"2,331,867",(X),"2,468,733",(X)
        High school graduate or higher,"4,260,547",88.80%,"2,046,437",87.80%,"2,214,110",89.70%
        Bachelor's degree or higher,"1,577,043",32.90%,"715,507",30.70%,"861,536",34.90%
    Hispanic or Latino Origin,"34,244,734",(X),"17,095,203",(X),"17,149,531",(X)
        High school graduate or higher,"23,857,471",69.70%,"11,692,372",68.40%,"12,165,099",70.90%
        Bachelor's degree or higher,"5,810,105",17.00%,"2,630,652",15.40%,"3,179,453",18.50%
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,,,,,
    Less than high school graduate,(X),24.40%,(X),20.70%,(X),28.10%
    High school graduate (includes equivalency),(X),13.50%,(X),11.10%,(X),15.80%
    Some college or associate's degree,(X),9.50%,(X),7.30%,(X),11.30%
    Bachelor's degree or higher,(X),4.40%,(X),4.00%,(X),4.70%
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS),,,,,,
    Population 25 years and over with earnings,"40,867",(X),"47,428",(X),"34,309",(X)
        Less than high school graduate,"24,530",(X),"29,267",(X),"18,518",(X)
        High school graduate (includes equivalency),"31,269",(X),"36,976",(X),"25,022",(X)
        Some college or associate's degree,"36,854",(X),"45,255",(X),"31,018",(X)
        Bachelor's degree,"54,628",(X),"66,710",(X),"46,316",(X)
        Graduate or professional degree,"72,492",(X),"91,217",(X),"61,737",(X)
